month,day,hour,elec,gas 
2,3,5,5.188,0.142
2,3,6,5.799,0.176
2,3,7,5.799,0.125
2,3,8,6.409,0.288
2,3,9,6.104,1.597
2,3,10,7.02,0.318
2,3,11,5.798,0.232
2,3,12,5.799,0.16
2,3,13,5.494,0.306
2,3,14,5.799,1.254
2,3,15,5.188,0.832
2,3,16,4.578,0.461
2,3,17,4.578,0.141
2,3,18,5.799,0.214
2,3,19,7.935,1.669
2,3,20,5.799,0.875
2,3,21,6.409,1.098
2,3,22,8.24,1.387
2,3,23,5.494,0.987
2,3,24,5.188,0.88
2,4,1,4.273,0.674
2,4,2,0,0.134
2,4,3,0,0.136
2,4,4,0,0.136
2,4,5,0,0.136
2,4,6,0,0.128
2,4,7,4.883,0.186
2,4,8,6.715,0.267
2,4,9,5.493,0.235
2,4,10,7.325,0.701
2,4,11,7.02,0.291
2,4,12,0,0.05
2,4,13,0,0.051
2,4,14,0,0.048
2,4,15,0,0.173
2,4,16,0,0.11
2,4,17,4.883,1.125
2,4,18,7.325,1.237
2,4,19,6.714,0.79
2,4,20,8.851,1.045
2,4,21,11.598,1.077
2,4,22,10.682,1.083
2,4,23,6.104,1.096
2,4,24,5.188,1.064
2,5,1,4.578,1.045
2,5,2,0,0.198
2,5,3,0,0.122
2,5,4,0,0.163
2,5,5,0,0.115
2,5,6,0,0.168
2,5,7,4.883,0.178
2,5,8,6.409,0.28
2,5,9,5.494,0.267
2,5,10,6.714,0.699
2,5,11,6.715,1.501
2,5,12,0.305,0.208
2,5,13,0,0.125
2,5,14,1.831,0.115
2,5,15,0,0.496
2,5,16,0,0.413
2,5,17,4.883,0.406
2,5,18,7.936,0.288
2,5,19,6.104,0.981
2,5,20,5.493,0.813
2,5,21,6.104,1.296
2,5,22,6.715,0.998
2,5,23,4.883,0.89
2,5,24,4.883,0.723
2,6,1,3.662,0.544
2,6,2,0,0.043
2,6,3,0,0.12
2,6,4,0,0.058
2,6,5,0,0.104
2,6,6,0,0.059
2,6,7,4.884,0.168
2,6,8,7.935,0.683
2,6,9,6.104,1.12
2,6,10,6.104,0.501
2,6,11,6.714,0.357
2,6,12,0,0.243
2,6,13,0,0.109
2,6,14,0,0.08
2,6,15,0,0.227
2,6,16,0,0.141
2,6,17,4.883,0.264
2,6,18,7.325,1.208
2,6,19,5.799,1.275
2,6,20,5.494,0.824
2,6,21,5.188,0.997
2,6,22,6.714,1.222
2,6,23,4.884,0.706
2,6,24,4.578,0.382
2,7,1,3.967,0.24
2,7,2,0,0.12
2,7,3,0,0.064
2,7,4,0,0.106
2,7,5,0,0.08
2,7,6,0,0.083
2,7,7,4.883,0.144
2,7,8,7.63,0.264
2,7,9,6.41,1.008
2,7,10,7.019,0.283
2,7,11,5.189,0.17
2,7,12,0,0.096
2,7,13,0,0.32
2,7,14,0,0.072
2,7,15,0,0.102
2,7,16,0,0.064
2,7,17,4.883,0.76
2,7,18,7.325,1.037
2,7,19,6.409,1.659
2,7,20,6.104,0.722
2,7,21,7.019,1.342
2,7,22,4.884,0.73
2,7,23,4.883,0.787
2,7,24,4.883,0.707
2,8,1,3.662,0.565
2,8,2,0,0.077
2,8,3,0,0.094
2,8,4,0,0.082
2,8,5,0,0.086
2,8,6,0,0.09
2,8,7,4.884,0.131
2,8,8,8.545,0.416
2,8,9,6.715,0.824
2,8,10,6.409,0.472
2,8,11,5.188,0.232
2,8,12,0,0.165
2,8,13,0,0.155
2,8,14,0,0.155
2,8,15,0,0.173
2,8,16,0,0.141
2,8,17,5.189,0.358
2,8,18,6.104,1.717
2,8,19,6.714,0.963
2,8,20,5.799,0.85
2,8,21,6.104,0.979
2,8,22,5.799,0.949
2,8,23,5.188,0.811
2,8,24,5.188,0.864
2,9,1,4.273,0.269
2,9,2,0,0.091
2,9,3,0,0.088
2,9,4,0,0.072
2,9,5,0,0.091
2,9,6,0,0.074
2,9,7,4.883,0.139
2,9,8,9.156,0.656
2,9,9,7.02,1.011
2,9,10,6.409,0.453
2,9,11,5.189,0.133
2,9,12,0,0.11
2,9,13,0,0.061
2,9,14,0,0.104
2,9,15,0.305,0.069
2,9,16,1.221,0.448
2,9,17,5.188,0.635
2,9,18,7.935,1.456
2,9,19,6.104,0.747
2,9,20,5.799,1.152
2,9,21,5.494,0.952
2,9,22,7.935,1.104
2,9,23,5.493,0.933
2,9,24,5.189,0.771
2,10,1,4.273,0.434
2,10,2,0,0.128
2,10,3,0,0.136
2,10,4,0,0.134
2,10,5,0,0.133
2,10,6,0,0.131
2,10,7,4.883,0.178
2,10,8,7.935,0.4
2,10,9,7.02,1.019
2,10,10,6.104,0.547
2,10,11,5.493,0.21
2,10,12,0,0.131
2,10,13,0,0.28
2,10,14,0,0.325
2,10,15,0,0.192
2,10,16,0,0.264
2,10,17,4.883,0.176
2,10,18,6.715,0.248
2,10,19,7.019,2.211
2,10,20,5.799,0.899
2,10,21,7.935,1.186
2,10,22,7.936,1.056
2,10,23,5.798,0.832
2,10,24,5.494,0.699
2,11,1,4.273,0.685
2,11,2,0,0.443
2,11,3,0,0.075
2,11,4,0,0.074
2,11,5,0,0.046
2,11,6,0,0.109
2,11,7,4.883,0.096
2,11,8,6.409,0.235
2,11,9,5.799,0.154
2,11,10,5.494,0.16
2,11,11,6.409,0.579
2,11,12,0,0.123
2,11,13,0,0.413
2,11,14,0.305,0.864
2,11,15,0,0.496
2,11,16,0,0.232
2,11,17,4.883,0.189
2,11,18,8.241,0.198
2,11,19,6.409,0.781
2,11,20,5.493,0.619
2,11,21,5.799,0.712
2,11,22,5.189,0.68
2,11,23,5.493,0.672
2,11,24,5.494,0.701
2,12,1,4.273,0.624
2,12,2,0,0.261
2,12,3,0,0.102
2,12,4,0,0.056
2,12,5,0,0.098
2,12,6,0,0.067
2,12,7,4.883,0.141
2,12,8,6.409,0.232
2,12,9,5.799,0.158
2,12,10,5.493,0.178
2,12,11,5.799,0.35
2,12,12,1.526,0.146
2,12,13,5.799,0.091
2,12,14,5.188,0.616
2,12,15,5.494,0.349
2,12,16,4.273,0.216
2,12,17,4.883,0.28
2,12,18,7.02,0.275
2,12,19,6.104,0.664
2,12,20,5.493,0.741
2,12,21,5.494,0.742
2,12,22,5.188,0.706
2,12,23,5.494,0.683
2,12,24,4.883,0.755
2,13,1,4.578,0.634
2,13,2,0,0.246
2,13,3,0,0.104
2,13,4,0,0.053
2,13,5,0,0.093
2,13,6,0,0.07
2,13,7,4.883,0.16
2,13,8,7.935,0.282
2,13,9,6.104,0.15
2,13,10,5.799,0.168
2,13,11,5.189,0.128
2,13,12,0,0.106
2,13,13,0,0.043
2,13,14,0,0.107
2,13,15,0,0.042
2,13,16,0,0.11
2,13,17,4.883,0.09
2,13,18,6.714,0.206
2,13,19,5.799,0.282
